,Job1,Job1Year,Job2,Job2Year,Job3,Job3Year,Job4,Job4Year,Job5,Job5Year,Job6,Job6Year,Job7,Job7Year,Job8,Job8Year,Job9,Job9Year,Job10,Job10Year
864,Software Engineer Intern,4.0,Software Engineer,2.58,,,,,,,,,,,,,,,,
865,Software Engineer,10.0,Software Engineer,5.0,,,,,,,,,,,,,,,,
866,Medical-related,3.0,Software Engineer,9.0,Software Engineer,3.0,Software Engineer,6.0,Software Engineer,1.08,Software Engineer,11.0,,,,,,,,
867,Teacher,1.58,*Outlier*,2.42,,,,,,,,,,,,,,,,
868,Intern,4.0,Research Scientist,5.0,Data Science,4.0,,,,,,,,,,,,,,
869,Intern,2.0,Intern,2.0,Intern,3.0,Research Scientist,1.08,Officer,3.42,Data Science,7.0,Data Science,3.0,,,,,,
870,Software Engineer Intern,4.0,Software Engineer Intern,3.0,Software Engineer,2.58,,,,,,,,,,,,,,
871,Intern,1.0,Software Engineer Intern,2.0,Software Engineer,2.67,,,,,,,,,,,,,,
872,Consultant/Advisor,7.0,Intern,3.0,Marketing,7.0,Project Manager,4.0,Consultant/Advisor,2.5,,,,,,,,,,
873,Software Engineer,2.75,,,,,,,,,,,,,,,,,,
874,Software Engineer Intern,3.0,President,1.08,Software Engineer Intern,4.0,Intern,3.0,Software Engineer,2.08,Software Engineer,6.0,,,,,,,,
875,Software Engineer Intern,3.0,Software Engineer,2.67,,,,,,,,,,,,,,,,
876,Software Engineer Intern,5.0,Software Engineer Intern,9.0,Software Engineer,2.67,,,,,,,,,,,,,,
877,Consultant/Advisor,4.33,Intern,5.0,Consultant/Advisor,2.58,Software Engineer,1.42,Software Engineer,1.08,,,,,,,,,,
878,Intern,4.0,Sales,2.58,,,,,,,,,,,,,,,,
879,Intern,4.0,Consultant/Advisor,2.0,Software Engineer Intern,3.0,Software Engineer,6.0,Technical Staff,1.25,,,,,,,,,,
880,Intern,4.0,Software Engineer Intern,8.0,Software Engineer,1.0,Software Engineer,1.83,Software Engineer,2.0,,,,,,,,,,
881,Intern,6.0,Software Engineer,2.75,,,,,,,,,,,,,,,,
882,Software Engineer Intern,3.0,Software Engineer,2.58,,,,,,,,,,,,,,,,
883,Software Engineer,1.58,,,,,,,,,,,,,,,,,,
884,Intern,2.0,Intern,3.0,Software Engineer Intern,4.0,Software Engineer,1.58,Software Engineer,6.0,,,,,,,,,,
885,Software Engineer Intern,4.0,Software Engineer,1.42,,,,,,,,,,,,,,,,
886,Software Engineer Intern,4.0,Software Engineer,6.0,Software Engineer Intern,3.0,Research Scientist,1.33,Research Scientist,1.17,,,,,,,,,,
887,Intern,3.0,Intern,3.0,Intern,3.0,Associate,2.58,,,,,,,,,,,,
888,Intern,3.0,Research Scientist,6.0,Consultant/Advisor,4.0,,,,,,,,,,,,,,
889,Software Engineer Intern,4.0,*Outlier*,11.0,Software Engineer,1.42,,,,,,,,,,,,,,
890,Project Manager,10.0,Director/Manager,10.0,Analyst,4.0,Director/Manager,11.0,,,,,,,,,,,,
891,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Software Engineer,2.0,Software Engineer,1.58,,,,,,,,,,,,
892,Intern,2.0,Research Scientist,2.0,Software Engineer Intern,4.0,Data Science,7.0,,,,,,,,,,,,
893,Consultant/Advisor,10.0,Software Engineer Intern,3.0,Software Engineer Intern,4.0,Software Engineer,1.42,Software Engineer,2.58,,,,,,,,,,
894,Marketing,1.58,Software Engineer,11.0,Research Scientist,4.0,Software Engineer Intern,2.0,,,,,,,,,,,,
895,Software Engineer Intern,3.0,Research Scientist,3.0,Software Engineer,10.0,Associate,10.0,Associate,1.83,,,,,,,,,,
896,Software Engineer Intern,4.0,Intern,3.0,Software Engineer,1.33,Founder/Owner,1.33,,,,,,,,,,,,
897,Software Engineer Intern,3.0,Software Engineer Intern,4.0,Intern,3.0,Data Science,8.0,,,,,,,,,,,,
898,Graduate Student,2.0,,,,,,,,,,,,,,,,,,
899,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer,1.0,,,,,,,,,,,,,,
900,Data Science,3.0,Data Science,1.17,Data Science,11.0,Intern,3.0,,,,,,,,,,,,
901,Software Engineer Intern,1.0,Software Engineer,2.08,,,,,,,,,,,,,,,,
902,Software Engineer Intern,3.0,Associate,2.33,*Outlier*,4.0,,,,,,,,,,,,,,
903,Software Engineer,2.58,Software Engineer,2.0,,,,,,,,,,,,,,,,
904,Software Engineer Intern,3.0,Software Engineer,1.17,Software Engineer,1.5,Software Engineer,1.0,,,,,,,,,,,,
905,Software Engineer,3.0,Software Engineer,2.0,,,,,,,,,,,,,,,,
906,Software Engineer Intern,4.0,Software Engineer Intern,4.0,User Experience,3.67,Consultant/Advisor,1.75,Software Engineer,1.08,,,,,,,,,,
907,Software Engineer Intern,4.0,Software Engineer,1.58,,,,,,,,,,,,,,,,
908,Web Developer,3.0,Web Developer,5.0,Project Manager,1.5,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Software Engineer,1.42,,,,,,,,
909,Software Engineer,10.0,,,,,,,,,,,,,,,,,,
910,Software Engineer,1.5,,,,,,,,,,,,,,,,,,
911,Teacher,1.33,Teacher,4.0,Teacher,2.5,Software Engineer,1.67,,,,,,,,,,,,
912,Software Engineer Intern,4.0,,,,,,,,,,,,,,,,,,
913,Software Engineer,1.25,Software Engineer,1.25,,,,,,,,,,,,,,,,
914,Software Engineer,1.58,,,,,,,,,,,,,,,,,,
915,Director/Manager,1.33,Technical Staff,1.42,Software Engineer Intern,4.0,Software Engineer,1.0,Software Engineer,8.0,,,,,,,,,,
916,Consultant/Advisor,3.0,Intern,4.0,Technical Staff,1.67,,,,,,,,,,,,,,
917,Software Engineer Intern,4.0,,,,,,,,,,,,,,,,,,
918,Software Engineer Intern,3.0,Software Engineer,1.58,,,,,,,,,,,,,,,,
919,*Outlier*,1.25,,,,,,,,,,,,,,,,,,
920,Software Engineer Intern,2.0,Software Engineer Intern,4.0,Software Engineer Intern,3.0,,,,,,,,,,,,,,
921,Software Engineer Intern,3.0,Analyst,3.0,Software Engineer,1.42,,,,,,,,,,,,,,
922,Software Engineer Intern,3.0,Software Engineer,2.08,,,,,,,,,,,,,,,,
923,Intern,4.0,Software Engineer,2.0,Software Engineer,9.0,Consultant/Advisor,1.67,,,,,,,,,,,,
924,Intern,3.0,Intern,3.0,Research Scientist,1.42,,,,,,,,,,,,,,
925,Software Engineer,4.0,,,,,,,,,,,,,,,,,,
926,Project Manager,1.0,Intern,5.0,Software Engineer,1.17,Intern,6.0,Analyst,1.42,,,,,,,,,,
927,Software Engineer,1.42,,,,,,,,,,,,,,,,,,
928,Software Engineer Intern,2.0,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Analyst,6.0,,,,,,,,,,,,
929,Software Engineer Intern,2.0,Research Scientist,3.0,Intern,2.0,,,,,,,,,,,,,,
930,Intern,2.0,Intern,2.0,Intern,2.67,Analyst,3.33,,,,,,,,,,,,
931,Intern,2.0,Software Engineer,4.0,Teacher,11.0,,,,,,,,,,,,,,
932,Graduate Student,2.0,,,,,,,,,,,,,,,,,,
933,Software Engineer Intern,4.0,Software Engineer,1.58,,,,,,,,,,,,,,,,
934,Data Science,6.0,Intern,1.42,Data Science,9.0,Tech Director,4.0,,,,,,,,,,,,
935,Intern,3.0,Intern,4.0,Software Engineer,1.5,,,,,,,,,,,,,,
936,Software Engineer,1.58,,,,,,,,,,,,,,,,,,
937,Software Engineer Intern,5.0,,,,,,,,,,,,,,,,,,
938,Consultant/Advisor,1.58,Web Developer,10.0,Web Developer,1.0,,,,,,,,,,,,,,
939,Intern,5.0,Intern,3.0,Intern,7.0,Software Engineer Intern,3.0,Intern,8.0,Software Engineer,1.42,Software Engineer,4.0,,,,,,
940,Intern,5.0,Director/Manager,3.0,Data Science,2.0,Software Engineer Intern,2.0,Data Science,9.0,Intern,5.0,Software Engineer,1.58,,,,,,
941,*Outlier*,4.0,*Outlier*,4.0,Director/Manager,4.0,Data Science,1.58,,,,,,,,,,,,
942,Intern,3.0,Software Engineer Intern,3.0,,,,,,,,,,,,,,,,
943,Data Science,10.0,Web Developer,8.0,,,,,,,,,,,,,,,,
944,Intern,3.0,Intern,5.0,Intern,4.0,Software Engineer Intern,5.0,Software Engineer,1.67,,,,,,,,,,
945,Software Engineer,9.0,,,,,,,,,,,,,,,,,,
946,Intern,2.0,Research Scientist,4.0,Research Scientist,4.0,Software Engineer,1.17,Software Engineer,7.0,,,,,,,,,,
947,Intern,2.0,Intern,2.0,*Outlier*,2.0,Intern,2.0,*Outlier*,2.0,Fellow,3.0,Fellow,3.0,Fellow,4.0,Software Engineer,1.58,,
948,Intern,4.0,Intern,5.0,Software Engineer,9.0,Tech Director,8.0,,,,,,,,,,,,
949,Software Engineer Intern,3.0,Intern,3.0,Intern,3.0,Intern,2.0,,,,,,,,,,,,
950,Software Engineer Intern,5.0,Software Engineer Intern,4.0,Software Engineer,1.75,,,,,,,,,,,,,,
951,Intern,4.0,Software Engineer Intern,3.0,Software Engineer Intern,8.0,Software Engineer,1.0,,,,,,,,,,,,
952,Software Engineer,3.0,Software Engineer Intern,4.0,Software Engineer,4.0,Research Scientist,4.0,*Outlier*,6.0,,,,,,,,,,
953,Research Scientist,5.0,Software Engineer,1.83,Software Engineer Intern,4.0,Software Engineer,1.83,,,,,,,,,,,,
954,Intern,3.0,Intern,4.0,Intern,7.0,Founder/Owner,2.17,,,,,,,,,,,,
955,Fellow,3.0,Intern,2.0,Account Management,1.08,Account Management,5.0,,,,,,,,,,,,
956,Software Engineer Intern,2.83,Software Engineer,1.75,,,,,,,,,,,,,,,,
957,Software Engineer Intern,1.0,Software Engineer,1.08,Software Engineer,8.0,,,,,,,,,,,,,,
958,Teacher,4.0,*Outlier*,9.0,Software Engineer Intern,4.0,,,,,,,,,,,,,,
959,*Outlier*,1.08,Teacher,3.0,Software Engineer Intern,4.0,Software Engineer,1.75,,,,,,,,,,,,
960,Teacher,10.0,,,,,,,,,,,,,,,,,,
961,Software Engineer Intern,3.0,,,,,,,,,,,,,,,,,,
962,*Outlier*,1.75,Teacher,2.0,Intern,8.0,Teacher,3.0,Research Scientist,5.0,Teacher,3.0,Software Engineer Intern,1.08,Research Scientist,7.0,,,,
963,Intern,2.0,*Outlier*,2.17,Software Engineer Intern,5.0,Teacher,10.0,Software Engineer Intern,3.0,Software Engineer Intern,4.0,Software Engineer,1.58,,,,,,
964,Intern,9.0,Intern,2.0,Software Engineer Intern,3.0,,,,,,,,,,,,,,
965,Software Engineer Intern,4.0,,,,,,,,,,,,,,,,,,
966,Software Engineer Intern,3.42,Software Engineer,1.42,Software Engineer,6.0,,,,,,,,,,,,,,
967,Intern,3.0,Data Science,5.0,Software Engineer,1.5,,,,,,,,,,,,,,
968,Intern,3.0,Intern,3.0,Software Engineer Intern,1.0,Intern,4.0,,,,,,,,,,,,
969,Teacher,5.0,Software Engineer Intern,4.0,Software Engineer,1.5,,,,,,,,,,,,,,
970,Software Engineer Intern,4.0,Software Engineer,1.58,,,,,,,,,,,,,,,,
971,Intern,4.0,Intern,3.0,Intern,3.0,,,,,,,,,,,,,,
972,Software Engineer Intern,4.0,,,,,,,,,,,,,,,,,,
973,Software Engineer Intern,2.0,Intern,3.0,Data Science,3.0,,,,,,,,,,,,,,
974,Teacher,4.0,Software Engineer,1.67,,,,,,,,,,,,,,,,
975,Intern,3.0,Data Science,9.0,,,,,,,,,,,,,,,,
976,Intern,6.0,,,,,,,,,,,,,,,,,,
977,Attorney,7.0,*Outlier*,1.75,Software Engineer Intern,5.0,Sales,1.0,,,,,,,,,,,,
978,Software Engineer,4.0,Software Engineer,4.0,Tech Director,7.0,Tech Director,9.0,,,,,,,,,,,,
979,Intern,4.0,Software Engineer,9.0,,,,,,,,,,,,,,,,
980,Intern,3.0,Data Science,3.0,Director/Manager,1.08,*Outlier*,3.0,Associate,7.0,Technical Staff,2.17,,,,,,,,
981,Research Scientist,8.0,Software Engineer Intern,2.0,Software Engineer,9.0,,,,,,,,,,,,,,
982,Research Scientist,2.33,Intern,3.0,Software Engineer Intern,4.0,Research Scientist,9.0,,,,,,,,,,,,
983,Intern,6.0,Software Engineer Intern,3.0,Software Engineer,7.0,,,,,,,,,,,,,,
984,Software Engineer Intern,1.0,Web Developer,1.42,Intern,7.0,Data Science,2.0,Research Scientist,1.25,Research Scientist,8.0,,,,,,,,
985,Software Engineer,2.0,,,,,,,,,,,,,,,,,,
986,Research Scientist,3.0,Software Engineer Intern,3.0,Software Engineer,9.0,,,,,,,,,,,,,,
987,Intern,4.0,,,,,,,,,,,,,,,,,,
988,Director/Manager,8.0,*Outlier*,1.58,Founder/Owner,2.08,Founder/Owner,6.0,,,,,,,,,,,,
989,Data Science,8.0,Tech Director,7.0,,,,,,,,,,,,,,,,
990,Software Engineer Intern,8.0,Software Engineer,3.0,Founder/Owner,3.58,Software Engineer,1.0,,,,,,,,,,,,
991,Teacher,11.0,Research Scientist,1.67,Consultant/Advisor,1.25,Board Member,7.0,Project Manager,8.0,,,,,,,,,,
992,Intern,4.0,Research Scientist,5.0,Software Engineer Intern,4.0,Research Scientist,5.0,Software Engineer,2.0,Web Developer,1.33,,,,,,,,
993,Research Scientist,1.5,Software Engineer Intern,1.92,Teacher,5.0,Software Engineer,5.0,,,,,,,,,,,,
994,Intern,3.0,,,,,,,,,,,,,,,,,,
995,Intern,3.0,,,,,,,,,,,,,,,,,,
996,Intern,6.0,*Outlier*,6.0,*Outlier*,1.33,Intern,4.0,Web Developer,5.0,Teacher,7.0,,,,,,,,
997,Intern,7.0,Intern,2.75,Software Engineer,1.17,Fellow,9.0,Software Engineer Intern,1.92,,,,,,,,,,
998,Intern,3.0,,,,,,,,,,,,,,,,,,
999,Intern,4.0,Intern,3.0,Intern,5.0,User Experience,10.0,,,,,,,,,,,,
1000,Intern,5.0,Intern,3.0,Intern,5.0,Software Engineer Intern,4.0,User Experience,5.0,,,,,,,,,,
1001,Intern,1.67,,,,,,,,,,,,,,,,,,
1002,Research Scientist,3.0,Intern,2.0,*Outlier*,1.42,,,,,,,,,,,,,,
1003,Founder/Owner,4.42,Founder/Owner,1.08,,,,,,,,,,,,,,,,
1004,Software Engineer Intern,1.17,Technical Staff,10.0,,,,,,,,,,,,,,,,
1005,Software Engineer Intern,11.0,Software Engineer,2.0,Software Engineer,9.0,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,
1007,Intern,4.0,Software Engineer Intern,4.0,Software Engineer,3.0,Software Engineer,8.0,,,,,,,,,,,,
1008,Software Engineer,6.0,Software Engineer,9.0,Sales,9.0,,,,,,,,,,,,,,
1009,Associate,1.17,,,,,,,,,,,,,,,,,,
1010,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer,5.0,Software Engineer,9.0,,,,,,,,,,
1011,Software Engineer Intern,4.0,Software Engineer Intern,3.0,Software Engineer,8.0,,,,,,,,,,,,,,
1012,Intern,9.0,Intern,3.0,Software Engineer,2.0,,,,,,,,,,,,,,
1013,Intern,3.0,,,,,,,,,,,,,,,,,,
1014,Intern,3.0,*Outlier*,1.0,,,,,,,,,,,,,,,,
1015,Research Scientist,2.0,Software Engineer Intern,2.0,Software Engineer Intern,3.0,Intern,5.5,Software Engineer Intern,5.17,,,,,,,,,,
1016,Marketing,4.0,Software Engineer Intern,3.0,Director/Manager,2.42,Software Engineer,1.25,,,,,,,,,,,,
1017,Software Engineer Intern,4.0,Software Engineer,7.0,,,,,,,,,,,,,,,,
1018,Software Engineer Intern,4.0,Software Engineer Intern,3.0,Software Engineer,7.0,,,,,,,,,,,,,,
1019,Software Engineer Intern,8.0,Software Engineer Intern,4.0,Software Engineer Intern,8.0,Software Engineer,10.0,,,,,,,,,,,,
1020,Intern,4.0,Intern,4.0,Software Engineer Intern,4.0,Software Engineer,8.0,,,,,,,,,,,,
1021,Software Engineer Intern,1.67,Software Engineer Intern,1.17,Software Engineer,1.17,,,,,,,,,,,,,,
1022,Software Engineer,3.0,Software Engineer,3.0,Data Science,2.0,,,,,,,,,,,,,,
1023,Intern,3.0,*Outlier*,3.0,Web Developer,6.0,,,,,,,,,,,,,,
1024,Founder/Owner,3.0,Software Engineer,3.0,Technical Staff,7.0,,,,,,,,,,,,,,
1025,Software Engineer Intern,2.0,Software Engineer Intern,3.0,,,,,,,,,,,,,,,,
1026,Software Engineer,10.0,,,,,,,,,,,,,,,,,,
1027,Intern,3.0,President,2.08,Intern,3.0,Associate,1.0,,,,,,,,,,,,
1028,Research Scientist,10.0,Research Scientist,10.0,Intern,3.0,Data Science,8.0,,,,,,,,,,,,
1029,Software Engineer,6.0,Analyst,8.0,Research Scientist,8.0,Software Engineer,2.0,,,,,,,,,,,,
1030,*Outlier*,1.25,,,,,,,,,,,,,,,,,,
1031,Intern,1.0,Intern,4.0,Intern,3.0,Intern,3.0,,,,,,,,,,,,
1032,Intern,2.0,Software Engineer,5.0,,,,,,,,,,,,,,,,
1033,Analyst,2.0,Intern,3.0,Analyst,7.0,,,,,,,,,,,,,,
1034,,,,,,,,,,,,,,,,,,,,
1035,Intern,4.0,Web Developer,8.0,,,,,,,,,,,,,,,,
1036,Software Engineer Intern,3.0,Software Engineer,2.0,,,,,,,,,,,,,,,,
1037,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer,8.0,,,,,,,,,,,,
1038,Intern,2.0,Software Engineer Intern,4.0,Project Manager,1.0,Project Manager,9.0,,,,,,,,,,,,
1039,Intern,4.0,Software Engineer Intern,3.0,,,,,,,,,,,,,,,,
1040,Software Engineer Intern,4.0,Project Manager,5.0,,,,,,,,,,,,,,,,
1041,Intern,2.0,Intern,6.0,Intern,4.0,Software Engineer Intern,4.0,Software Engineer Intern,5.0,Software Engineer Intern,3.0,,,,,,,,
1042,Software Engineer Intern,3.0,Software Engineer Intern,4.0,Software Engineer,8.0,,,,,,,,,,,,,,
1043,Web Developer,1.0,Software Engineer Intern,2.0,Director/Manager,2.0,Intern,4.0,Intern,3.0,Intern,2.0,,,,,,,,
1044,Intern,2.0,,,,,,,,,,,,,,,,,,
